Unnamed: 0,latitude,longitude,name,Area
243,1.378719675,103.8685904,AFT ANG MO KIO IND PK 2,None
244,1.336327651,103.8979067,OPP COMFORT DRIVING CTR,None
245,1.399776169,103.8724504,AFT TPE,None
246,1.347557166,103.7124628,BLK 210,None
247,1.345724055,103.6928771,BLK 827,None
248,1.374408634,103.8929128,OPP PUNGGOL CC,None
249,1.301461859,103.752785,SWANSON PLASTICS,None
250,1.310046946,103.8053552,LIEN TWRS,None
251,1.295962585,103.8393892,AFT KIM YAM RD,None
252,1.361418507,103.9307772,AFT TAMPINES AVE 9,None
253,1.350540127,103.70115,AFT WESTWOOD AVE,None
254,1.364160521,103.8610475,OPP BLOXHOME DR,None
255,1.33189904,103.7163263,CLARIANT S'PORE,None
256,1.379464709,103.9382122,BLK 651,None
257,1.379725893,103.8886511,OPP HOUGANG G. SHOP MALL,None
258,1.36390574,103.8524096,BLK 354,None
259,1.375740305,103.8716517,YIO CHU KANG AMENITY CTR,None
260,1.402403366,103.816858,AFT UPP THOMSON RD,None
261,1.293738826,103.6219215,YONG NAM,None
262,1.337659518,103.819458,AFT LORNIE WALK,None
263,1.346418928,103.7669278,BEF BT BATOK EAST AVE 6,None
264,1.435914659,103.7960034,BLK 609,None
265,1.379116545,103.8832215,BLK 911,None
266,1.32338518,103.9251537,BLK 32,None
267,1.31776971,103.9526212,UPP EAST COAST TER,None
268,1.339732699,103.8580203,BLK 227,None
269,1.371207866,103.7667259,AFT CASHEW TERR,None
270,1.343061104,103.7080535,OPP BLK 695,None
271,1.289186496,103.7769186,OPP LUXE VILLE,None
272,1.351713099,103.9506307,OPP BLK 266,None
273,1.337293697,103.7644695,AFT TOH TUCK CRES,None
274,1.296425908,103.7874688,OPP BLK 71,None
275,1.2972205,103.6662078,BEF NAM LEONG CO PTE LTD,None
276,1.319380478,103.8105053,OPP ST. MARGARET'S SEC SCH,None
277,1.336586572,103.8947468,OPP COMFORT TEST CTR,None
278,1.342520662,103.6971599,BEF BLK 717,None
279,1.360490931,103.9704067,OPP CHANGI WOMEN'S PRISON,None
280,1.356784961,103.8925788,OPP BLK 241,None
281,1.378449065,103.8844616,BLK 913,None
282,1.348447285,103.6962462,BLK 857,None
283,1.311120319,103.8713451,KALLANG STN,None
284,1.361500355,103.9348054,BLK 604A,None
285,1.370932736,103.8824512,XINMIN PR SCH,None
286,1.448503032,103.7849446,,None
287,1.445912062,103.8196345,BLK 328,None
288,1.340549768,103.6952916,BLK 704,None
289,1.362955506,103.8722525,AFT YIO CHU KANG RD,None
290,1.420774832,103.702914,AFT NEO TIEW RD,None
291,1.300463743,103.8895053,OPP SANTA FE MANSIONS,None
292,1.323477241,103.8563286,BLK 82,None
293,1.273307077,103.8006702,OPP LABRADOR PK STN,None
294,1.361451315,103.9345237,OPP BLK 601C,None
295,1.304954837,103.8254661,THE REGENT S'PORE,None
296,1.380547377,103.7627333,OPP BLK 183,None
297,1.299521531,103.8550815,AFT BUGIS STN EXIT C,None
298,1.337411283,103.9225212,BLK 713,None
299,1.374896845,103.8806163,BLK 946A,None
300,1.351534088,103.743718,BLK 140,None
301,1.300122301,103.8551933,OPP BUGIS STN EXIT C,None
302,1.423299562,103.8512916,AFT YISHUN AVE 6,None
303,1.380833178,103.7387712,BLK 426,None
304,1.367167476,103.8665396,OPP KINGSWEAR AVE,None
305,1.330387834,103.7079725,OPP PREMIER MILK PTE LTD,None
306,1.323883838,103.7429139,AFT JURONG TOWN HALL RD,None
307,1.310734073,103.9192886,AFT JLN BUROH PERINDU,None
308,1.38718802,103.9084327,BLK 160,None
309,1.323265327,103.8811569,OPP BLK 125,None
310,1.33824514,103.8553766,OPP BLK 5,None
311,1.285966325,103.8112841,OPP PACIFIC TECH CTR,None
312,1.343625095,103.7310066,OPP BLK 350,None
313,1.348222834,103.8493188,BLK 501,None
314,1.296064556,103.8967464,TG KATONG FLYOVER,None
315,1.445133892,103.7298206,SG BULOH WETLAND RESERVE,None
316,1.386783964,103.8925616,BLK 200B,None
317,1.343817951,103.6382932,BEF TUAS TER,None
318,1.310125296,103.8799085,AFT LOR 14 GEYLANG,None
319,1.306995778,103.8800478,OPP S.A. DEAF,None
320,1.345319519,103.8513134,BLK 131,None
321,1.453359798,103.8192407,BLK 424A CP,None
322,1.364917299,103.8279533,BEF ANG MO KIO AVE 1,None
323,1.375955315,103.9399131,BLK 640,None
324,1.368374069,103.951682,OPP BLK 555,None
325,1.363427612,103.9699093,AFT TOH CL,None
326,1.323018072,103.8526272,OPP BALESTIER PT,None
327,1.274209954,103.7984935,MAPLETREE BUSINESS CITY,None
328,1.351192409,103.7561695,BLK 242,None
329,1.358846017,103.8890257,BLK 232,None
330,1.374290646,103.8548655,BLK 532,None
331,1.431290136,103.8265221,OPP BLK 101,None
332,1.345214676,103.70656,BLK 263,None
333,1.368692209,103.95819,BLK 442,None
334,1.318978577,103.6496906,AFT TUAS CRES,None
335,1.310798005,103.8831901,OPP BLK 56,None
336,1.325364152,103.8139692,OPP S'PORE BIBLE COLLEGE,None
337,1.303589973,103.6659025,OPP ASIA IND GASES,None
338,1.351073288,103.8708892,S'GOON STN EXIT F,None
339,1.334102294,103.7145983,PB PACKAGING SYSTEMS,None
340,1.431303625,103.7906228,OPP BLK 507,None
341,1.324201718,103.6647502,BEF TUAS FLYOVER,None
342,1.313855459,103.7020948,AFT TG KLING RD,None
343,1.435074018,103.7898787,BLK 515,None
344,1.347153007,103.7451774,BLK 185,None
345,1.33062337,103.929853,BLK 516,None
346,1.293925056,103.7668681,OPP VARSITY PK,None
347,1.349780719,103.7124029,OPP BLK 213,None
348,1.446008307,103.8253307,OPP CANBERRA DR,None
349,1.348003638,103.7009602,BLK 755,None
350,1.346147455,103.8465832,RAFFLES INSTN,None
351,1.344826172,103.708109,OPP RIVER VALLEY HIGH SCH,None
352,1.312529511,103.7528746,BLK T PANDAN LIGHT IND PK,None
353,1.327506979,103.8459543,Opp EASB,None
354,1.377132596,103.7554165,BLK 26,None
355,1.328014889,103.776736,OPP SIM HQ,None
356,1.347161427,103.8545829,ZION BIBLE PRESBY CH,None
357,1.326706411,103.7205133,CISCO RECALL,None
358,1.35957678,103.841697,BLK 260,None
359,1.345819264,103.8388021,OPP ST. THERESA'S HOME,None
360,1.336012814,103.9120629,BLK 151,None
361,1.37830137,103.8926943,BET BLKS 544/546,None
362,1.451547082,103.7889603,AFT VIEW RD,None
363,1.360767189,103.8286638,FLAME TREE PK,None
364,1.344235311,103.7200486,LAKESIDE STN,None
365,1.31382087,103.8766429,YI XIU FTY BLDG,None
366,1.296543577,103.7724571,CTRL LIB,None
367,1.318533013,103.6389069,AFT TUAS AVE 16,None
368,1.436717225,103.8336514,OPP DARUL MAKMUR MQUE,None
369,1.4448185,103.8163552,OPP SEMBAWANG SEC SCH,None
370,1.309567865,103.7812897,SP SMA,None
371,1.335115503,103.9502388,BLK 3014,None
372,1.353794259,103.8914457,OPP BLK 106,None
373,1.438881768,103.7769692,OPP BLK 137,None
374,1.427559546,103.8265556,OPP BLK 713,None
375,1.410560577,103.7796102,BEF MANDAI LAKE RD,None
376,1.397335799,103.7478259,OPP YEW TEE STN,None
377,1.378728402,103.7669669,OPP BLK 171,None
378,1.328742484,103.6372534,AFT PIONEER RD,None
